date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
18-04-2020,AngelaPapi,veteran,129,643,307,484391,17,4094,2102012,4800
18-04-2020,Berserkresse,private,84,568,429,345650,10,410,1150603,1270
18-04-2020,bnv,private,165,440,356,414901,15,3344,2343242,4762
18-04-2020,Breyn,leader,30,1148,667,483153,24,4050,4843067,4800
18-04-2020,D_Mac,private,57,596,345,468458,11,4626,3640833,4800
18-04-2020,Displace,private,28,536,408,265157,13,3772,2513975,4720
18-04-2020,DocStrange,private,55,1073,705,459376,18,3370,2230091,3812
18-04-2020,Dom,veteran,203,771,520,464138,21,3697,4594575,4800
18-04-2020,Drizzt4Ever,officer,41,971,595,433132,17,4029,4593806,4800
18-04-2020,Fisichella,veteran,27,1083,567,359710,18,3494,3356780,4444
18-04-2020,Foxgloves,officer,28,608,351,403412,11,3853,3446588,4800
18-04-2020,Fryseboksen,private,12,391,276,278578,7,3004,1002162,4800
18-04-2020,Glory,veteran,63,818,652,432886,18,3494,4827455,4288
18-04-2020,Imper0s,officer,44,791,396,400743,14,4362,4651067,4800
18-04-2020,IrishWrath,officer,26,543,371,409079,13,4211,3575953,4800
18-04-2020,KARMA,officer,24,655,355,320487,12,3817,3821347,4800
18-04-2020,Kropman,private,34,648,763,472720,10,3910,4091387,4800
18-04-2020,Lux,private,117,671,486,377892,17,3581,2837614,4256
18-04-2020,matrixttd,veteran,87,834,490,503786,23,3665,3870090,4800
18-04-2020,Mbad,veteran,72,604,513,448466,16,3104,3429342,4800
18-04-2020,Mikaeus,private,318,363,417,394658,1,4039,1395275,4432
18-04-2020,Minimoose27,private,29,507,245,400526,15,4345,4570602,4800
18-04-2020,MrMilanna,veteran,111,546,288,417242,10,3960,3195686,4732
18-04-2020,Psykosis,veteran,186,644,34,344200,12,3739,2918610,4720
18-04-2020,sillien,private,111,422,362,276394,4,3768,1559224,4800
18-04-2020,skinwalker,private,140,213,134,371643,0,3768,1559224,4800
18-04-2020,The Wiza,private,365,489,228,339607,1,3808,713432,4440
18-04-2020,TRUNG,private,108,496,306,514325,15,3646,3878750,4800
18-04-2020,WhoTFCars,private,66,721,344,367618,11,4231,3731176,4800
