date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
21-06-2020,AngelaPapi,veteran,81,778,392,583007,28,4821,2793718,4800
21-06-2020,Annanana,private,106,566,361,356105,9,3526,2762805,4184
21-06-2020,Berserkresse,private,98,767,520,434765,17,3154,2313003,4196
21-06-2020,bnv,private,115,544,414,487344,20,3752,3548470,4800
21-06-2020,Breyn,leader,5,1356,766,576834,38,4320,3243254,4786
21-06-2020,D_Mac,private,41,728,457,557686,20,4434,2549451,4800
21-06-2020,Displace,private,115,660,549,367372,19,4638,1311033,4800
21-06-2020,DocStrange,private,57,1275,815,503413,22,3612,2403499,4546
21-06-2020,Dom,veteran,184,823,579,543114,24,4205,3682925,4800
21-06-2020,Drizzt4Ever,officer,30,1192,672,505300,27,3969,5631508,4540
21-06-2020,Fisichella,veteran,57,1280,683,448145,24,3442,1961911,4200
21-06-2020,Foxgloves,officer,18,798,465,500465,20,4110,2832222,4800
21-06-2020,Glory,veteran,78,845,750,482062,23,2766,1579547,4628
21-06-2020,Imper0s,officer,68,989,467,450220,19,4347,4200341,4520
21-06-2020,IrishWrath,officer,19,716,464,486985,23,4491,4419582,4558
21-06-2020,KARMA,officer,58,890,443,420048,23,4300,2972326,4800
21-06-2020,Kropman,private,58,754,858,545193,17,4390,3298924,4344
21-06-2020,Lux,private,147,760,579,425690,20,3600,1706608,3900
21-06-2020,matrixttd,veteran,36,998,595,580248,28,3726,3283918,4200
21-06-2020,Mazsola,private,15,282,409,478752,20,3889,1596444,4800
21-06-2020,Mbad,veteran,89,622,594,504045,18,3562,2904354,4546
21-06-2020,Mikaeus,private,155,467,503,490796,2,4175,3792572,4800
21-06-2020,Minimoose27,private,31,684,340,477578,24,4421,4362322,4736
21-06-2020,MrMilanna,veteran,119,622,346,483064,17,3911,3691623,4800
21-06-2020,Psykosis,veteran,217,727,490,416235,13,3882,2251927,4508
21-06-2020,sillien,private,131,497,459,374966,12,3178,2486604,4340
21-06-2020,skinwalker,private,109,320,178,472821,11,3822,3389791,4800
21-06-2020,The Wiza,private,234,583,284,407242,7,3906,3327609,4652
21-06-2020,TRUNG,private,61,551,389,588613,28,3210,4000187,4800
21-06-2020,WhoTFCars,private,30,954,431,462260,21,4692,3420007,4800
