date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
25-05-2020,AngelaPapi,veteran,128,724,343,535943,22,4771,2382909,4800
25-05-2020,Annanana,private,107,532,327,341890,9,3978,2123124,4800
25-05-2020,Berserkresse,private,59,690,490,404076,16,4605,3258859,4800
25-05-2020,bnv,private,136,499,384,451973,19,3928,2974331,4800
25-05-2020,Breyn,leader,20,1273,724,531469,31,4459,3442859,4800
25-05-2020,D_Mac,private,24,672,411,521788,13,5120,3487128,4500
25-05-2020,Displace,private,88,612,490,320816,16,4439,1635834,4800
25-05-2020,DocStrange,private,53,1188,768,479954,20,4121,2812416,3788
25-05-2020,Dom,veteran,147,799,548,506536,23,4556,2942440,4800
25-05-2020,Drizzt4Ever,officer,9,1091,638,474705,23,5254,4877824,4800
25-05-2020,Fisichella,veteran,41,1208,638,403690,21,4002,2556655,4684
25-05-2020,Foxgloves,officer,31,708,396,469740,16,4286,3739978,4800
25-05-2020,Glory,veteran,162,828,701,463752,21,1974,1126891,3840
25-05-2020,Imper0s,officer,119,911,429,433475,17,5047,4359685,4750
25-05-2020,IrishWrath,officer,20,641,421,455189,20,4443,2783940,4726
25-05-2020,KARMA,officer,29,790,397,377730,17,5421,3296140,4800
25-05-2020,Kropman,private,57,716,822,514828,13,4363,4127203,4800
25-05-2020,Lux,private,132,733,547,405648,19,1938,1490759,2994
25-05-2020,matrixttd,veteran,34,929,552,547311,27,3870,3021600,4660
25-05-2020,Mazsola,private,14,247,353,449580,13,4252,2813194,4800
25-05-2020,Mbad,veteran,88,617,565,478303,16,3508,2546727,4598
25-05-2020,Mikaeus,private,238,418,464,444092,2,4382,2545426,4800
25-05-2020,Minimoose27,private,19,596,308,435566,20,4875,3089705,4800
25-05-2020,MrMilanna,veteran,112,587,321,449232,14,4305,2815071,4580
25-05-2020,Psykosis,veteran,174,697,470,391138,13,4172,2131736,4800
25-05-2020,sillien,private,93,472,419,332080,8,4242,1891119,4706
25-05-2020,skinwalker,private,87,288,159,424826,6,4303,1457611,4800
25-05-2020,The Wiza,private,232,539,259,375301,6,4433,2404259,4800
25-05-2020,TRUNG,private,40,532,346,552620,22,4157,3489847,4800
25-05-2020,WhoTFCars,private,34,855,397,422295,17,5096,3617474,4800
