date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
03-05-2020,AngelaPapi,veteran,114,689,321,506123,20,4294,2844430,4800
10-05-2020,Annanana,private,84,504,314,327431,8,3400,3012835,4576
10-05-2020,Berserkresse,private,74,634,464,378260,13,3725,3012804,4800
10-05-2020,bnv,private,161,475,371,439355,17,3579,3130572,4800
10-05-2020,Breyn,leader,6,1217,706,509933,29,4454,4743665,4800
10-05-2020,D_Mac,private,26,650,374,496636,12,4423,3131669,4800
10-05-2020,Displace,private,46,584,457,302968,15,3672,1828766,4800
10-05-2020,DocStrange,private,81,1143,745,473276,19,3518,2236888,3928
10-05-2020,Dom,veteran,176,787,534,484768,22,4039,3557131,4800
10-05-2020,Drizzt4Ever,officer,17,1039,615,456717,21,3972,5842127,4800
10-05-2020,Fisichella,veteran,87,1155,609,385162,20,3557,2975171,4688
10-05-2020,Foxgloves,officer,22,675,381,446974,14,4292,2847084,4800
10-05-2020,Glory,veteran,140,828,684,443359,20,2198,1160040,3262
10-05-2020,Imper0s,officer,86,863,410,417198,16,4522,3771952,4800
10-05-2020,IrishWrath,officer,27,604,396,430888,17,4237,3364597,4800
10-05-2020,KARMA,officer,34,735,387,353798,14,3853,3451200,4800
10-05-2020,Kropman,private,37,694,795,491470,12,4496,4444856,4800
10-05-2020,Lux,private,98,720,519,394914,17,3518,1431924,4490
10-05-2020,matrixttd,veteran,22,897,530,522863,25,3469,4273385,4800
10-05-2020,Mazsola,private,8,231,332,427851,12,3471,3047722,4800
10-05-2020,Mbad,veteran,93,613,555,462328,16,3090,4011532,4330
10-05-2020,Mikaeus,private,236,398,449,417063,2,4000,2801380,4800
10-05-2020,Minimoose27,private,18,565,287,421381,18,4423,3913916,4800
10-05-2020,MrMilanna,veteran,152,568,308,433580,12,3831,2965336,4800
10-05-2020,Psykosis,veteran,189,675,458,367238,12,3585,2688562,4800
10-05-2020,sillien,private,126,445,397,303987,6,3212,2042762,4270
10-05-2020,skinwalker,private,145,257,145,404096,6,3675,1333078,4800
10-05-2020,The Wiza,private,309,517,247,359997,3,3852,1825665,4588
10-05-2020,TRUNG,private,66,509,326,533401,19,3578,2710212,4800
10-05-2020,WhoTFCars,private,47,791,376,401619,15,4198,2640843,4800
