date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
05-07-2020,AngelaPapi,veteran,97,800,412,617226,31,5319,4606555,4800
05-07-2020,Annanana,private,113,580,371,378329,10,3898,3313850,4500
05-07-2020,Berserkresse,private,61,814,532,469093,18,4138,4698100,4594
05-07-2020,Black Dahlia,private,99,759,487,475913,14,1612,264433,2088
05-07-2020,bnv,private,103,566,430,505434,23,4038,5756460,4722
05-07-2020,Breyn,leader,17,1399,783,601079,41,4652,5818950,4800
05-07-2020,D_Mac,private,60,745,490,585058,24,4050,3291846,3600
05-07-2020,Displace,private,82,692,581,395285,23,4299,2986461,4572
05-07-2020,DocStrange,private,61,1318,838,523220,24,3856,4451678,4098
05-07-2020,Dom,veteran,174,832,589,562999,26,4471,5032545,4800
05-07-2020,Drizzt4Ever,officer,21,1247,688,531559,29,4618,6726920,4800
05-07-2020,Fisichella,veteran,89,1306,712,462729,25,3984,3190788,3880
05-07-2020,Foxgloves,officer,12,846,487,527049,21,4316,7221560,4800
05-07-2020,Glory,veteran,111,859,776,486825,23,2510,922056,3344
05-07-2020,Imper0s,officer,73,1037,473,471058,20,4967,4999092,4698
05-07-2020,IrishWrath,officer,28,762,483,520626,24,4657,5537332,4738
05-07-2020,KARMA,officer,43,940,453,449566,25,4699,6324537,4800
05-07-2020,Kropman,private,53,783,881,574438,20,4837,6101066,4600
05-07-2020,Lux,private,151,772,603,433716,20,2648,1492786,4138
05-07-2020,matrixttd,veteran,55,1036,613,592214,28,3836,3939766,4664
05-07-2020,Mazsola,private,29,300,439,502874,20,4114,3634602,4200
05-07-2020,Mbad,veteran,96,622,603,519224,19,3376,2776608,4078
05-07-2020,Mikaeus,private,143,494,519,517362,2,4943,4754376,4710
05-07-2020,Minimoose27,private,52,737,356,506221,25,4897,6228515,4800
05-07-2020,MrMilanna,veteran,100,646,362,508295,18,4499,4885845,4800
05-07-2020,Psykosis,veteran,228,738,502,430631,13,3512,3897004,4384
05-07-2020,skinwalker,private,123,335,197,502124,14,4152,3467646,4260
05-07-2020,The Wiza,private,225,607,298,419420,7,4176,3360616,3984
05-07-2020,uncleb,private,163,761,484,489293,11,0,0,364
05-07-2020,WhoTFCars,private,19,1004,463,478936,23,4725,6917936,4800
