date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
07-06-2020,AngelaPapi,veteran,71,759,359,558497,24,5181,2725720,4188
07-06-2020,Annanana,private,100,550,340,350625,9,3800,2375815,4800
07-06-2020,Berserkresse,private,61,729,507,417315,16,4142,4176253,4800
07-06-2020,bnv,private,72,519,393,467173,20,4110,2323755,4800
07-06-2020,Breyn,leader,3,1323,747,555901,34,4983,4260628,4800
07-06-2020,D_Mac,private,29,703,440,540965,18,4233,2981790,4800
07-06-2020,Displace,private,90,634,526,339954,18,4614,1706969,4792
07-06-2020,DocStrange,private,75,1228,795,491464,21,3892,2472951,3338
07-06-2020,Dom,veteran,169,815,562,527025,24,4640,3514365,4800
07-06-2020,Drizzt4Ever,officer,10,1139,659,487703,24,4587,5600890,4800
07-06-2020,Fisichella,veteran,67,1240,656,428076,23,3646,3725268,4126
07-06-2020,Foxgloves,officer,42,748,430,486390,18,4761,3990627,4800
07-06-2020,Glory,veteran,102,835,716,472642,21,3050,2159077,4316
07-06-2020,Imper0s,officer,80,951,451,442669,18,4786,4157182,4710
07-06-2020,IrishWrath,officer,26,670,437,467558,21,4534,3348813,4800
07-06-2020,KARMA,officer,83,838,421,401604,20,4446,3485882,4800
07-06-2020,Kropman,private,46,741,845,530239,16,5014,3592161,4800
07-06-2020,Lux,private,153,748,559,412955,20,3432,1155156,3430
07-06-2020,matrixttd,veteran,20,959,564,560582,28,3885,2653151,4546
07-06-2020,Mazsola,private,5,264,376,459648,16,4068,3540626,4800
07-06-2020,Mbad,veteran,96,620,575,490773,18,3374,2930642,4238
07-06-2020,Mikaeus,private,185,438,478,474440,2,4426,2523103,4800
07-06-2020,Minimoose27,private,26,638,322,455897,22,4468,4294959,4800
07-06-2020,MrMilanna,veteran,123,604,329,467414,15,4258,3536452,4800
07-06-2020,Psykosis,veteran,194,711,480,404801,13,3904,1924927,4646
07-06-2020,sillien,private,71,493,442,351792,11,4147,2327979,4290
07-06-2020,skinwalker,private,100,305,165,448913,10,4278,2015727,4480
07-06-2020,The Wiza,private,228,561,271,389325,7,4094,1842108,4524
07-06-2020,TRUNG,private,43,544,374,576048,25,3954,3081772,4800
07-06-2020,WhoTFCars,private,51,906,415,446517,19,4860,4188697,4800
