date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
18-05-2020,AngelaPapi,veteran,92,708,331,524398,22,4180,2089311,4800
18-05-2020,Annanana,private,94,519,319,330191,8,3475,1994139,4446
18-05-2020,Berserkresse,private,76,664,486,385188,14,3717,2650134,4800
18-05-2020,bnv,private,129,488,379,444811,18,3491,3046970,4800
18-05-2020,Breyn,leader,9,1248,714,519852,30,4178,4568206,4800
18-05-2020,D_Mac,private,20,660,388,511133,12,4790,2586671,4800
18-05-2020,Displace,private,61,598,470,309624,16,3718,1085798,4502
18-05-2020,DocStrange,private,53,1168,757,475035,19,3516,2299850,3854
18-05-2020,Dom,veteran,170,791,543,490384,23,3800,4559998,4800
18-05-2020,Drizzt4Ever,officer,13,1061,631,464157,22,4220,4340604,4800
18-05-2020,Fisichella,veteran,48,1180,623,392717,21,3648,3119904,4752
18-05-2020,Foxgloves,officer,27,688,390,460359,15,4108,3675613,4800
18-05-2020,Glory,veteran,162,828,696,450664,20,2184,2392753,3928
18-05-2020,Imper0s,officer,88,892,416,422501,16,4246,4245935,4800
18-05-2020,IrishWrath,officer,20,628,409,442050,19,4237,3444567,4478
18-05-2020,KARMA,officer,28,764,394,362235,16,4144,3977245,4800
18-05-2020,Kropman,private,26,706,810,500831,12,4363,3894093,4800
18-05-2020,Lux,private,117,729,533,397970,18,2508,1864638,3766
18-05-2020,matrixttd,veteran,36,917,540,533462,25,3622,2690729,4712
18-05-2020,Mazsola,private,7,237,345,438943,13,3639,3037506,4602
18-05-2020,Mbad,veteran,95,615,560,468327,16,3022,2286682,4024
18-05-2020,Mikaeus,private,239,410,454,428843,2,4222,2666603,4800
18-05-2020,Minimoose27,private,14,586,299,430443,18,4381,3642909,4800
18-05-2020,MrMilanna,veteran,143,576,316,442375,13,4176,2944025,4540
18-05-2020,Psykosis,veteran,172,687,466,369915,12,3493,1599238,4192
18-05-2020,sillien,private,82,463,413,316286,7,3596,2428227,4636
18-05-2020,skinwalker,private,101,274,149,411185,6,3603,1152771,2980
18-05-2020,The Wiza,private,282,525,250,365300,3,3668,2188093,4404
18-05-2020,TRUNG,private,52,518,332,540272,21,3184,2826094,4800
18-05-2020,WhoTFCars,private,36,822,385,409593,16,4321,3231212,4800
