date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
09-04-2020,AngelaPapi,veteran,134,630,301,476142,16,4379,1709968,4800
09-04-2020,bnv,private,169,429,344,403900,14,3564,3211927,4396
09-04-2020,Breyn,leader,16,1123,654,462650,22,4067,2868349,4708
09-04-2020,D_Mac,private,112,557,323,450724,9,4421,3566458,4747
09-04-2020,Displace,private,31,516,388,255116,12,3777,3423489,4770
09-04-2020,DocStrange,private,50,1050,692,455027,18,3665,1715478,3689
09-04-2020,Dom,veteran,215,768,510,454772,20,4011,3811027,4800
09-04-2020,Drizzt4Ever,officer,65,935,585,411888,15,4382,3907645,4800
09-04-2020,Fisichella,veteran,31,1054,550,351726,16,3725,3632360,4764
09-04-2020,Foxgloves,officer,39,582,333,403412,11,3830,3086414,4800
09-04-2020,Fryseboksen,private,18,369,260,266255,7,3878,3004734,4539
09-04-2020,Glory,veteran,69,801,637,426330,17,3100,2707429,4160
09-04-2020,Imper0s,officer,73,761,383,389771,13,4486,3641841,4396
09-04-2020,IrishWrath,officer,29,520,349,392501,12,4540,3430287,4428
09-04-2020,KARMA,officer,30,618,340,308435,12,3866,3636920,4784
09-04-2020,Kropman,private,300,600,731,447618,7,3878,3004734,4539
09-04-2020,Lux,private,125,660,468,366821,16,3827,2506546,4422
09-04-2020,matrixttd,veteran,77,813,472,481968,22,3531,3656851,4800
09-04-2020,Mbad,veteran,85,595,496,434915,16,3578,3398807,4314
09-04-2020,Mikaeus,private,345,353,403,376243,0,3878,3004734,4539
09-04-2020,Minimoose27,private,40,479,229,376070,13,4273,4373944,4800
09-04-2020,MrMilanna,veteran,104,547,278,405143,10,4036,3996208,4800
09-04-2020,Psykosis,veteran,214,632,426,340496,12,3795,2224235,4420
09-04-2020,Rhellik,private,368,342,248,273415,0,3681,421320,4068
09-04-2020,sillien,private,145,404,352,268052,1,3663,1735206,4712
09-04-2020,skinwalker,private,98,198,128,352138,0,3651,860404,4352
09-04-2020,The Wiza,private,297,482,214,328142,1,3878,3004734,4539
09-04-2020,Tristanslav,private,176,249,261,396329,14,2952,2966513,3666
09-04-2020,TRUNG,private,119,493,306,502954,14,3646,3826753,4800
09-04-2020,WhoTFCars,private,44,688,329,354679,11,4384,3806692,4816
