date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
01-06-2020,AngelaPapi,veteran,115,742,347,549662,23,4874,3657223,4800
01-06-2020,Annanana,private,103,539,335,347639,9,3762,2439127,4178
01-06-2020,Berserkresse,private,67,709,500,409267,16,4071,3288005,4800
01-06-2020,bnv,private,94,508,388,460057,19,3804,1697941,4380
01-06-2020,Breyn,leader,5,1295,730,544772,33,4727,4807125,4800
01-06-2020,D_Mac,private,21,688,430,530752,17,4329,3197512,4800
01-06-2020,Displace,private,76,624,511,331583,17,4133,938970,4800
01-06-2020,DocStrange,private,58,1211,783,484111,21,3687,2047503,4280
01-06-2020,Dom,veteran,149,807,554,513586,23,4306,3531337,4800
01-06-2020,Drizzt4Ever,officer,17,1110,647,480544,24,4553,4830089,4280
01-06-2020,Fisichella,veteran,52,1223,643,416652,23,3506,4083185,4200
01-06-2020,Foxgloves,officer,36,727,416,475385,16,4438,3433801,4800
01-06-2020,Glory,veteran,162,828,707,464020,21,2454,1947722,3636
01-06-2020,Imper0s,officer,49,938,439,438637,18,4710,4356289,4716
01-06-2020,IrishWrath,officer,19,651,431,460949,21,4513,3343924,4756
01-06-2020,KARMA,officer,60,811,410,389836,18,4774,4812085,4580
01-06-2020,Kropman,private,32,732,831,522035,13,4850,2402634,4550
01-06-2020,Lux,private,109,742,550,408648,19,3218,1803714,4038
01-06-2020,matrixttd,veteran,32,943,556,552839,27,3900,1304771,4540
01-06-2020,Mazsola,private,6,257,365,454433,14,4118,3041820,4408
01-06-2020,Mbad,veteran,93,618,566,482490,17,3729,1973620,4360
01-06-2020,Mikaeus,private,232,426,473,454130,2,4494,2615265,4750
01-06-2020,Minimoose27,private,18,615,315,445446,21,4161,3728550,4800
01-06-2020,MrMilanna,veteran,119,597,326,456996,15,4201,2881067,4800
01-06-2020,Psykosis,veteran,180,706,475,399563,13,3752,2360276,4384
01-06-2020,sillien,private,76,484,428,339663,9,3729,2424585,4514
01-06-2020,skinwalker,private,115,296,163,439681,7,4135,1552317,4170
01-06-2020,The Wiza,private,273,548,266,382661,7,4110,1819566,4640
01-06-2020,TRUNG,private,43,539,367,566888,23,3734,3334252,4764
01-06-2020,WhoTFCars,private,41,878,406,438919,18,4738,3458017,4800
